product_key,product_id,product_category,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,last_updated
1,00066f42aeeb9f3007548bb9d3f33c38,Unknown,6,300,20,16,16,2025-09-21
2,00088930e925c41fd95ebfe695fd2655,Unknown,4,1225,55,10,26,2025-09-21
3,0009406fd7479715e4bef61dd91f2462,Unknown,2,300,45,15,35,2025-09-21
4,000b8f95fcb9e0096488278317764d19,Unknown,3,550,19,24,12,2025-09-21
5,000d9be29b5207b54e86aa1b1ac54872,Unknown,4,250,22,11,15,2025-09-21
6,0011c512eb256aa0dbbb544d8dffcf6e,Unknown,1,100,16,15,16,2025-09-21
7,00126f27c813603687e6ce486d909d01,cool_stuff,1,700,25,5,15,2025-09-21
8,001795ec6f1b187d37335e1c4704762e,consoles_games,1,600,30,20,20,2025-09-21
9,001b237c0e9bb435f2e54071129237e9,Unknown,1,6000,40,4,30,2025-09-21
10,001b72dfd63e9833e8c02742adf472e3,Unknown,3,600,26,8,22,2025-09-21
11,001c5d71ac6ad696d22315953758fa04,Unknown,1,1800,47,21,41,2025-09-21
12,00210e41887c2a8ef9f791ebc780cc36,Unknown,6,300,30,15,15,2025-09-21
13,002159fe700ed3521f46cfcf6e941c76,Unknown,3,1850,36,37,16,2025-09-21
14,0021a87d4997a48b6cef1665602be0f5,Unknown,6,650,25,10,15,2025-09-21
15,00250175f79f584c14ab5cecd80553cd,Unknown,2,750,30,5,35,2025-09-21
16,002552c0663708129c0019cc97552d7d,cool_stuff,1,355,22,16,12,2025-09-21
17,002959d7a0b0990fe2d69988affcbc80,Unknown,3,2600,105,3,70,2025-09-21
18,002af88741ba70c7b5cf4e4a0ad7ef85,cool_stuff,3,600,40,30,40,2025-09-21
19,002c6dab60557c48cfd6c2222ef7fd76,Unknown,5,350,45,30,30,2025-09-21
20,002d4ea7c04739c130bb74d7e7cd1694,pet_shop,1,200,20,11,11,2025-09-21
21,002ec297b1b00fb9dde7ee6ac24b6771,Unknown,3,150,20,10,15,2025-09-21
22,0030026a6ddb3b2d1d4bc225b4b4c4da,Unknown,4,800,25,25,25,2025-09-21
23,0030e635639c898b323826589761cf23,Unknown,1,1550,26,6,20,2025-09-21
24,003128f981470c3e5a2e7445e4a771cd,Unknown,6,1550,16,10,16,2025-09-21
25,0036bb031e69d915cd384d1b3838b5d3,Unknown,3,200,18,5,13,2025-09-21
26,003938452c98ff9ab28e9e7b4bfe97ab,Unknown,2,5050,50,8,50,2025-09-21
27,003962cb74a8b43cf1034fed541a76f0,Unknown,1,1000,16,46,36,2025-09-21
28,003a31970fea14fffe92ac856b8a9b97,Unknown,4,1850,45,12,45,2025-09-21
29,003c0b8f6580c850bd2e32044d2ac307,Unknown,2,21100,100,20,60,2025-09-21
30,003dbcabcf8e3231de657c7d9f9a5eba,Unknown,1,1800,30,22,22,2025-09-21
31,004154251837f6ac124ad4374b3a8148,Unknown,3,150,35,2,25,2025-09-21
32,0042f1a9a7e0edd1400c6cd0fda065f8,Unknown,3,175,23,11,13,2025-09-21
33,0043c62d00db47eff6a6bc4cf6bfaeda,Unknown,1,380,18,12,14,2025-09-21
34,0043d1a25ef08fb6f41b8fa6f91742ab,Unknown,1,20400,30,30,30,2025-09-21
35,0044d70d4e53450c0fbb8255446a797b,Unknown,1,200,20,18,18,2025-09-21
36,004552d98c5d3653af8b4dbe8def0048,Unknown,1,900,100,11,12,2025-09-21
37,004636c889c7c3dad6631f136b7fa082,Unknown,1,550,30,10,25,2025-09-21
38,004ffcbfa5aac82212a95bc972ea8a85,Unknown,2,10000,65,35,35,2025-09-21
39,005030ef108f58b46b78116f754d8d38,Unknown,1,50,16,5,11,2025-09-21
40,005c6b24cc96dca3e2c01e824401030e,Unknown,1,400,17,7,20,2025-09-21
41,0060b415594c5e1200324ef1a18493c4,Unknown,1,1200,20,20,20,2025-09-21
42,00636f9286f69c9f1bdabe76e670fb50,Unknown,1,500,25,2,17,2025-09-21
43,006508eabcc19ae52ed87323124ad0e9,Unknown,2,246,22,15,19,2025-09-21
44,006619bbed68b000c8ba3f8725d5409e,Unknown,1,150,16,7,15,2025-09-21
45,0067f97995b0c3a86739734dc87ee6b6,Unknown,1,200,16,2,11,2025-09-21
46,006baa9a5b8f95895f15273a35bc2664,Unknown,2,950,60,15,15,2025-09-21
47,006c67546bfe73c33b83f6bd1ad58c36,Unknown,6,4550,47,19,23,2025-09-21
48,00716e5593e8eea55dbe7a29b72a70bc,Unknown,1,250,20,20,20,2025-09-21
49,00738f5a17ec4450e88915357b085c1e,Unknown,2,600,17,15,22,2025-09-21
50,0075c14603d80515e20908c156ceb47b,Unknown,2,150,16,18,16,2025-09-21
51,007c63ae4b346920756b5adcad8095de,Unknown,1,2800,30,30,30,2025-09-21
52,0081787b18cce4acc2d1adec4520d7ba,Unknown,1,1340,32,14,27,2025-09-21
53,0082684bb4a60a862baaf7a60a5845ed,Unknown,0,500,24,4,15,2025-09-21
54,0085dddda27567189f1dfd1eda7c286e,Unknown,1,1800,40,8,30,2025-09-21
55,008686d56f4c85b987a4c24a286834c1,Unknown,1,2200,37,10,32,2025-09-21
56,00878d953636afec00d3e85d55a12e7f,Unknown,4,2550,38,42,25,2025-09-21
57,008b0ec3de3638637099f97add750136,Unknown,1,690,17,17,13,2025-09-21
58,008b51e6be49ee039854b5e35c331b02,Unknown,2,633,19,12,17,2025-09-21
59,008cff0e5792219fae03e570f980b330,Unknown,5,1550,40,20,20,2025-09-21
60,00905d58c87afcbce21420b3712cacaa,Unknown,1,3875,46,12,43,2025-09-21
61,00917855135d67fb060dcd81863166a4,Unknown,1,1133,16,16,11,2025-09-21
62,0091d85023824de2d33252310c952307,Unknown,4,450,16,24,11,2025-09-21
63,00929aaa7751a77220db9caa1ae6d3ab,Unknown,2,2800,50,35,15,2025-09-21
64,0092a9e1c8a471753ed7ffa7eef5086e,Unknown,1,350,16,16,16,2025-09-21
65,00989337a1916a0055eedd1fdb35eb53,Unknown,1,800,40,5,11,2025-09-21
66,009af1277432f1a05742df69cdf72d1e,Unknown,3,700,20,35,20,2025-09-21
67,009c09f439988bc06a93d6b8186dce73,Unknown,3,150,20,20,20,2025-09-21
68,009df2b0bc078648fc4f5898de8cabff,Unknown,1,23250,50,20,20,2025-09-21
69,00a0db09dc7c94d512ec51900141ed69,Unknown,3,400,23,7,15,2025-09-21
70,00a8c742ae1da97e9064205459977e6c,Unknown,1,150,16,23,13,2025-09-21
71,00a985c524adbb97a4211e4ce17aabec,Unknown,3,250,17,4,12,2025-09-21
72,00aa70fd749f3b9ce8ca4bc914a9e7b1,Unknown,1,700,16,16,16,2025-09-21
73,00ab8a8b9fe219511dc3f178c6d79698,Unknown,0,2100,50,30,30,2025-09-21
74,00ae7076313576f94d9107599d79a978,Unknown,1,600,22,33,16,2025-09-21
75,00b264091d1c8df03976c3f3b176b35c,Unknown,2,250,16,16,16,2025-09-21
76,00b4155166f994ba9da3cf001eb80505,Unknown,4,1125,28,15,23,2025-09-21
77,00b782074a5ec523bf31951b4935d572,Unknown,2,250,16,5,11,2025-09-21
78,00ba6d766f0b1d7b78a5ce3e1e033263,Unknown,1,7850,28,62,28,2025-09-21
79,00baba5b58e274d0332a0c8a0a66f877,Unknown,4,200,18,7,12,2025-09-21
80,00bb62ea3729537a687c3fddcd123662,Unknown,3,12100,60,60,20,2025-09-21
81,00bc6e6d4ceb98ec7ed058b0a243a8b9,Unknown,1,200,16,11,11,2025-09-21
82,00be617b58175bf207fd35910d5097a4,Unknown,1,900,45,15,35,2025-09-21
83,00c1e6d55fe174bfbb179257255e49bb,cool_stuff,1,187,17,13,14,2025-09-21
84,00c3e35b00dd00ab864d4a94c1b97e66,Unknown,4,512,30,12,18,2025-09-21
85,00c407e056c74eb8040a1233ca6da16f,Unknown,2,650,35,15,28,2025-09-21
86,00c744ca2f3b0e76ce227b146095d3f9,Unknown,1,350,17,15,17,2025-09-21
87,00c794371af4dc7c5b6ba3ef913556bb,Unknown,4,150,16,4,13,2025-09-21
88,00cc15e0cef551848c797ab75ba904b1,Unknown,1,300,19,10,15,2025-09-21
89,00cf06147ed4880ec5fbba2adbb20e1d,Unknown,1,350,24,5,17,2025-09-21
90,00d2add85b1f5aba6bb3d5d977314e25,Unknown,1,9050,56,26,28,2025-09-21
91,00d2fa6f2a87633084c8e0400d41a65a,Unknown,1,18550,54,35,45,2025-09-21
92,00d363b8c14bb9a6c73febc4c42acf47,consoles_games,2,200,16,16,11,2025-09-21
93,00d51a45854ebce28acda79f414388ee,Unknown,1,225,16,4,14,2025-09-21
94,00d62b338366db4c4aec8547ea8f928e,Unknown,0,400,24,4,15,2025-09-21
95,00d62d0388b0786d730a1aaed91c0ae0,Unknown,1,300,16,30,20,2025-09-21
96,00d93a09990b319a7c946ed7a8c67656,Unknown,8,3400,42,16,26,2025-09-21
97,00dc8a1b2de45a7fca5921544e5f351d,Unknown,6,1550,42,17,17,2025-09-21
98,00ddaddbe03b7103d80daee96892363f,Unknown,1,200,19,4,11,2025-09-21
99,00de606a5dda99c2499f94ef18282977,Unknown,5,1650,60,8,33,2025-09-21
100,00de7f393d962717eeeb2d7131a40dba,Unknown,2,300,16,5,12,2025-09-21
101,00df6fc5f33cc3f7ceec4ec6337d9cd7,Unknown,3,500,20,15,17,2025-09-21
102,00e040fed5fb843e28740181ddca3521,Unknown,3,400,17,4,12,2025-09-21
103,00e2784f846618842151d40ec730ece0,Unknown,1,800,21,34,34,2025-09-21
104,00e32638060f6356e6f00749dc466b5c,Unknown,2,7050,20,105,20,2025-09-21
105,00e41fb1706dc56cc3bbdd2c1d6df362,Unknown,1,500,40,15,40,2025-09-21
106,00e437f5e55fc5a62e4ef2f84f41b5fb,Unknown,1,550,40,5,30,2025-09-21
107,00e4ded51458037ecda216453eb79d3c,Unknown,3,1400,25,15,25,2025-09-21
108,00e62bcf9337ca4c5d5b4c5c8188f8d2,Unknown,3,700,41,9,11,2025-09-21
109,00e928700d549c4173b1bf631ca30abf,Unknown,2,300,20,3,15,2025-09-21
110,00efb9a8ce0cf3b2f37892ab003edc10,Unknown,4,2217,49,35,47,2025-09-21
111,00f179926ae5965cd6ff548d765d8a61,Unknown,3,133,17,6,12,2025-09-21
112,00f2fa1c4397392f20e5627e3220accd,Unknown,3,7850,25,52,37,2025-09-21
113,00f42e56821b1779fbf397fe72639054,Unknown,1,750,50,10,50,2025-09-21
114,00f8c37377b038c9c791128d2f928111,Unknown,1,100,19,15,17,2025-09-21
115,00faa46f36261af8bbf3a4d37fa4841b,Unknown,1,100,21,9,14,2025-09-21
116,00fd6afd95fe066db8433832180a5369,Unknown,4,299,14,11,13,2025-09-21
